	Legato	Long	Long CS	Long Flaut	Spiccato	Staccato	Pizzicato	Col Legno	Tremolo	Trill M2	Trill m2	Long Sul Tasto	Long Harmonics	Short Harmonics	Bartok	Long Marcato	Marcato	Tremolo Sul Pont	Tremolo CS	Long Sul Pont	Spiccato CS
	Legato	Long	Long	Long	Short	Short	Short	Technique	Ornament	Ornament	Ornament	Technique	Technique	Technique	Short	Long	Short	Ornament	Ornament	Technique	Short
Violins 1 Leader	-70	-100	-90	-120	-30	-50	-20	-50	-40	-40	-40	-140	0	0	-20	x	-110	x	x	x	x
Violins 1	-80	-100	-90	-120	-50	-50	-40	-50	-30	-30	-30	-100	0	0	-60	-100	x	-50	-70	-100	-80
Violins 2 Leader	-80	-80	-90	-120	-20	-50	-20	-30	-40	-40	-20	-100	0	0	-20	x	-80	x	x	x	x
Violins 2	-120	-100	-100	-120	-30	-50	-40	-40	-40	-30	-30	-100	0	0	-40	-80	x	-40	-50	-120	-60
Violas Leader	-80	-80	-90	-120	-30	-50	-30	-50	-40	-20	-30	-100	0	0	-40	x	-80	x	x	x	x
Violas	-120	-100	-80	-120	-30	-40	-30	-30	-20	-30	-40	-100	0	0	-40	-80	x	-30	-40	-120	-70
Celli Leader	-120	-120	-120	-120	-70	-70	-30	-30	-20	-40	-40	-130	0	0	-30	x	-90	x	x	x	x
Celli	-120	-120	-120	-120	-40	-60	-50	-60	-20	-40	-20	-120	0	0	-50	-100	x	-30	-30	-120	-70
Basses Leader	-90	-90	-90	-100	-60	-60	-60	-30	-80	-60	-60	-120	0	0	-40	x	-120	x	x	x	x
Basses	-120	-120	-120	-130	-60	-80	-70	-30	-80	-40	-40	-120	0	0	-40	-80	x	-60	-40	-120	-70

	Legato	Long	Staccatissimo	Marcato	Long Cuive	Long Sfz	Long Flutter	Multi-Tongue	Trill M2	Trill m2	Long Muted	Staccatissimo Muted	Marcato Muted
	Legato	Long	Short	Short	Long	Long	Long	Technique	Ornament	Ornament	Long	Short	Short
Horn	-120	-60	-20	-60	-60	-30	-40	-20	-20	-20	-60	-30	-60
Horns a4	-120	-100	-20	-60	-100	-60	-40	-20	-20	-20	-60	-30	-60
Trumpet	-120	-70	-40	-60	-80	-50	-40	-60	0	-20	-60	-40	-50
Trumpets a3	-100	-70	-40	-60	-80	-50	-40	-40	0	-20	-60	-40	-40
Tenor Trombone	-80	-90	-40	-80	-90	-60	-40	-60	x	x	-60	-40	-40
Tenor Trombones a3	-80	-90	-40	-60	-90	-70	-40	-60	x	x	-70	-40	-40
Bass Trombones a2	-100	-80	-60	-70	-60	-100	-100	-100	x	x	-120	-60	-60
Tuba	-80	-60	-60	-70	-80	-100	-80	-70	x	x	x	x	x
Contrabass Tuba	-120	-120	-20	-120	-120	-120	x	x	x	x	x	x	x
Contrabass Trombone	-120	-100	-60	-80	-80	-70	x	x	x	x	x	x	x
Cimbasso	x	-40	-40	-60	-40	-40	x	x	x	x	x	x	x

	Legato	Long	Trill M2	Trill m2	Staccatissimo	Tenuto	Marcato	Long Flutter	Multi-Tongue	Rips	Falls
	Legato	Long	Ornament	Ornament	Short	Short	Short	Long	Technique	Technique	Technique
Flute	-80	-100	0	0	-40	-60	-70	-40	-60	x	x
Flutes a3	-80	-80	0	0	-40	-60	-70	-40	-60	x	x
Piccolo	-80	-80	-20	-20	-30	-40	-40	-20	-60	-30	-30
Oboe	-80	-30	0	0	-30	-50	-30	xx	-30	x	x
Oboes a3	-80	-30	0	0	-30	-50	-30	xx	-30	x	x
Clarinet	-60	-40	0	0	-30	-30	-80	-80	-20	x	x
Clarinets a3	-30	-40	0	0	-30	-30	-60	-90	-20	x	x
Bassoon	-90	-80	-20	-30	-10	-20	-50	-60	x	x	x
Bassoons a3	-90	-80	-30	-20	-10	-10	-50	-60	x	x	x
Contrabass Clarinet	-70	-40	0	0	-30	x	-60	-80	x	x	x
Contrabassoon	-140	-70	-30	-20	-10	x	-80	-60	x	x	x
Bass Clarinet	-70	-70	-40	-20	-30	x	-40	-90	x	x	x
Cor Anglais	-80	-30	0	0	-30	-50	-30	x	x	x	x
Bass Flute	xx	-80	-60	-60	-50	-60	-40	-40	x	x	x

	Hits	Rolls	Hits Soft	Rolls Soft	Hits Hotrods	Long Rolls Hotrods	Hits Damped	Hits Super Damped	Hotrods Hits Damped	Hits Damped Soft
	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique
Timpani	-25	-20	-25	-20	-25	-20	-20	-10	-15	-25

	Sustained	Damped	Damped Medium	Bisbigliando Trem	Gliss FX
	Technique	Technique	Technique	Technique	Technique
Harp	0	0	0	0	0

	Hits	Rolls
	Technique	Technique
Marimba	-20	-20

	Sustained	Damped	Damped Medium
	Technique	Technique	Technique
Celeste	-25	-25	-20

	Hits	Rolls	Hits Damped
	Technique	Technique	Technique
